Name,Rating,Genre,Release Date,Runtime,Director,Url
Virus:32,71.0,Horror,04/21/2022,1h 30m,Gustavo Hernández,https://www.themoviedb.org/movie/893370
Ratatouille,78.0,"Animation, Comedy, Family, Fantasy",06/29/2007,1h 51m,Brad Bird,https://www.themoviedb.org/movie/2062
Eternal Sunshine of the Spotless Mind,81.0,"Science Fiction, Drama, Romance",03/19/2004,1h 48m,Michel Gondry,https://www.themoviedb.org/movie/38
PAW Patrol: The Movie,75.0,"Animation, Family, Adventure, Comedy",08/20/2021,1h 26m,Cal Brunker,https://www.themoviedb.org/movie/675445
Spirited Away,85.0,"Animation, Family, Fantasy",07/20/2001,2h 5m,Hayao Miyazaki,https://www.themoviedb.org/movie/129
Fifty Shades of Grey,59.0,"Drama, Romance, Thriller",02/13/2015,2h 5m,Sam Taylor-Johnson,https://www.themoviedb.org/movie/216015
The School Teacher,50.0,Comedy,07/11/1975,1h 29m,Nando Cicero,https://www.themoviedb.org/movie/106909
Zootopia,77.0,"Animation, Adventure, Family, Comedy",03/04/2016,1h 49m,Rich Moore,https://www.themoviedb.org/movie/269149
The Christmas Games,71.0,Comedy,12/09/2022,NA,Salvador Suárez Obregón,https://www.themoviedb.org/movie/1054864
Hunting Ava Bravo,64.0,"Horror, Thriller, Action, Adventure, Crime, Mystery, Drama, War",04/01/2022,1h 30m,Gary Auerbach,https://www.themoviedb.org/movie/927341
V/H/S/99,63.0,"Horror, Thriller",10/20/2022,1h 39m,Johannes Roberts,https://www.themoviedb.org/movie/1005776
The Shawshank Redemption,87.0,"Drama, Crime",10/14/1994,2h 22m,Frank Darabont,https://www.themoviedb.org/movie/278
Ambulance,68.0,"Action, Thriller, Crime",04/08/2022,2h 16m,Michael Bay,https://www.themoviedb.org/movie/763285
TÁR,76.0,"Drama, Music",10/28/2022,2h 38m,Todd Field,https://www.themoviedb.org/movie/817758
Beauty and the Beast,77.0,"Romance, Family, Animation, Fantasy",11/22/1991,1h 24m,Kirk Wise,https://www.themoviedb.org/movie/10020
Blacklight,63.0,"Action, Thriller",02/10/2022,1h 44m,Mark Williams,https://www.themoviedb.org/movie/823625
Presences,70.0,Horror,09/07/2022,NA,Luis Mandoki,https://www.themoviedb.org/movie/772450
(500) Days of Summer,73.0,"Comedy, Drama, Romance",08/07/2009,1h 35m,Marc Webb,https://www.themoviedb.org/movie/19913
Falling for Christmas,63.0,"Romance, Comedy, Family",11/10/2022,1h 35m,Janeen Damian,https://www.themoviedb.org/movie/833097
Toy Story 2,76.0,"Animation, Comedy, Family",11/24/1999,1h 32m,John Lasseter,https://www.themoviedb.org/movie/863
Soul,82.0,"Animation, Family, Comedy, Fantasy, Drama",12/25/2020,1h 41m,Pete Docter,https://www.themoviedb.org/movie/508442
Shark Bait,59.0,"Horror, Thriller, Action, Adventure",06/30/2022,1h 27m,James Nunn,https://www.themoviedb.org/movie/960258
The Princess and the Frog,72.0,"Romance, Family, Animation",12/10/2009,1h 38m,Ron Clements,https://www.themoviedb.org/movie/10198
No Time to Die,74.0,"Adventure, Action, Thriller",09/30/2021,2h 43m,Cary Joji Fukunaga,https://www.themoviedb.org/movie/370172
Decision to Leave,73.0,"Mystery, Thriller, Crime, Drama, Romance",06/29/2022,2h 18m,Park Chan-wook,https://www.themoviedb.org/movie/705996
The Lost Patient,59.0,"Thriller, Mystery, TV Movie, Drama",10/21/2022,1h 33m,Christophe Charrier,https://www.themoviedb.org/movie/1006917
Despicable Me 2,69.0,"Animation, Comedy, Family",07/03/2013,1h 38m,Pierre Coffin,https://www.themoviedb.org/movie/93456
Werewolf by Night,71.0,"Action, Fantasy, Horror, TV Movie",10/07/2022,55m,Michael Giacchino,https://www.themoviedb.org/movie/894205
The Marriage App,59.0,"Romance, Comedy",12/07/2022,1h 41m,Sebastián De Caro,https://www.themoviedb.org/movie/948037
The Lion King,71.0,"Adventure, Drama, Family",07/19/2019,1h 58m,Jon Favreau,https://www.themoviedb.org/movie/420818
Spider-Man: Into the Spider-Verse,84.0,"Action, Adventure, Animation, Science Fiction",12/14/2018,1h 57m,Rodney Rothman,https://www.themoviedb.org/movie/324857
Stowaway,67.0,"Thriller, Action",08/31/2022,1h 34m,Declan Whitebloom,https://www.themoviedb.org/movie/999205
Space Jam: A New Legacy,69.0,"Family, Animation, Comedy, Science Fiction",07/16/2021,1h 55m,Malcolm D. Lee,https://www.themoviedb.org/movie/379686
Deadpool 2,75.0,"Action, Comedy, Adventure",05/18/2018,2h,David Leitch,https://www.themoviedb.org/movie/383498
Hustle,79.0,"Drama, Comedy",06/03/2022,1h 58m,Jeremiah Zagar,https://www.themoviedb.org/movie/705861
The Matrix,82.0,"Action, Science Fiction",03/30/1999,2h 16m,Lilly Wachowski,https://www.themoviedb.org/movie/603
The Intouchables,83.0,"Drama, Comedy",07/13/2012,1h 53m,Éric Toledano,https://www.themoviedb.org/movie/77338
Through My Window,75.0,"Drama, Romance",02/04/2022,1h 52m,Marçal Forés,https://www.themoviedb.org/movie/818647
The Lord of the Rings: The Two Towers,84.0,"Adventure, Fantasy, Action",12/18/2002,2h 59m,Peter Jackson,https://www.themoviedb.org/movie/121
Selina's Gold,68.0,Drama,10/24/2022,1h 53m,Mac Alejandre,https://www.themoviedb.org/movie/1029446
The Unholy,67.0,"Horror, Mystery",04/02/2021,1h 39m,Evan Spiliotopoulos,https://www.themoviedb.org/movie/632357
Elvis,77.0,"Music, Drama, History",06/23/2022,2h 39m,Baz Luhrmann,https://www.themoviedb.org/movie/614934
Venom,68.0,"Science Fiction, Action",10/05/2018,1h 52m,Ruben Fleischer,https://www.themoviedb.org/movie/335983
My Sweet Monster,63.0,"Animation, Adventure, Family",04/28/2022,1h 38m,Maksim Volkov,https://www.themoviedb.org/movie/576925
My Hero Academia: Two Heroes,79.0,"Animation, Action, Adventure, Fantasy",08/03/2018,1h 36m,Kenji Nagasaki,https://www.themoviedb.org/movie/505262
Bubble,75.0,"Animation, Adventure, Science Fiction",04/28/2022,1h 41m,Tetsuro Araki,https://www.themoviedb.org/movie/912598
Dragon Ball Z: Broly – The Legendary Super Saiyan,73.0,"Animation, Science Fiction, Action",03/06/1993,1h 10m,Shigeyasu Yamauchi,https://www.themoviedb.org/movie/34433
Fast & Furious Presents: Hobbs & Shaw,69.0,"Action, Adventure, Comedy",08/02/2019,2h 17m,David Leitch,https://www.themoviedb.org/movie/384018
Harry Potter 20th Anniversary: Return to Hogwarts,73.0,Documentary,01/01/2022,1h 43m,Eran Creevy,https://www.themoviedb.org/movie/899082
Ted 2,63.0,"Comedy, Fantasy",06/26/2015,1h 55m,Seth MacFarlane,https://www.themoviedb.org/movie/214756
Jurassic World,67.0,"Action, Adventure, Science Fiction, Thriller",06/11/2015,2h 4m,Colin Trevorrow,https://www.themoviedb.org/movie/135397
Golden Escape,60.0,"Drama, Crime",08/05/2022,NA,NA,https://www.themoviedb.org/movie/1008640
It Chapter Two,69.0,"Horror, Fantasy",09/06/2019,2h 49m,Andy Muschietti,https://www.themoviedb.org/movie/474350
Teenage Mutant Ninja Turtles,59.0,"Science Fiction, Action, Adventure, Comedy",08/08/2014,1h 41m,Jonathan Liebesman,https://www.themoviedb.org/movie/98566
Tangled,76.0,"Animation, Family",01/21/2011,1h 40m,Byron Howard,https://www.themoviedb.org/movie/38757
Mulan,79.0,"Animation, Family, Adventure",06/19/1998,1h 28m,Tony Bancroft,https://www.themoviedb.org/movie/10674
Spider-Man: Homecoming,74.0,"Action, Adventure, Science Fiction, Drama",07/07/2017,2h 13m,Jon Watts,https://www.themoviedb.org/movie/315635
A Quiet Place Part II,76.0,"Science Fiction, Thriller, Horror",05/28/2021,1h 37m,John Krasinski,https://www.themoviedb.org/movie/520763
The Whale,74.0,Drama,12/09/2022,1h 57m,Darren Aronofsky,https://www.themoviedb.org/movie/785084
The Witch: Part 2. The Other One,73.0,"Action, Mystery, Thriller, Science Fiction",06/15/2022,2h 17m,Park Hoon-jung,https://www.themoviedb.org/movie/615173
Chernobyl: Abyss,62.0,"Drama, History, Adventure, Action, Fantasy, Mystery",04/15/2021,2h 16m,Danila Kozlovsky,https://www.themoviedb.org/movie/589761
Sniper: Rogue Mission,68.0,"Action, Thriller, Mystery",08/16/2022,1h 36m,Oliver Thompson,https://www.themoviedb.org/movie/997120
The Nightmare Before Christmas,78.0,"Fantasy, Animation, Family",10/29/1993,1h 16m,Henry Selick,https://www.themoviedb.org/movie/9479
Vesper,66.0,"Science Fiction, Drama, Adventure",08/17/2022,1h 52m,Kristina Buozyte,https://www.themoviedb.org/movie/976720
World War Z,68.0,"Action, Drama, Horror, Science Fiction, Thriller",06/21/2013,1h 56m,Marc Forster,https://www.themoviedb.org/movie/72190
Transformers: The Last Knight,61.0,"Action, Adventure, Science Fiction",06/21/2017,2h 34m,Michael Bay,https://www.themoviedb.org/movie/335988
The Little Mermaid,73.0,"Animation, Family, Fantasy",11/17/1989,1h 23m,John Musker,https://www.themoviedb.org/movie/10144
Aria the Benedizione,75.0,"Animation, Comedy, Science Fiction, Fantasy",12/03/2021,1h,Junichi Sato,https://www.themoviedb.org/movie/808604
Young Sister-in-Law 5,59.0,Romance,11/20/2019,1h 13m,Choi Woo-seong,https://www.themoviedb.org/movie/652575
Avatar Spirits,90.0,Documentary,06/22/2010,32m,Kurt Mattila,https://www.themoviedb.org/movie/278698
Barbie Epic Road Trip,74.0,"Comedy, Family, Animation",10/25/2022,37m,Conrad Helten,https://www.themoviedb.org/movie/1034470
Alienoid,73.0,"Action, Fantasy, Science Fiction, Adventure",07/20/2022,2h 23m,Choi Dong-hoon,https://www.themoviedb.org/movie/601796
Kimi,62.0,Thriller,02/10/2022,1h 29m,Steven Soderbergh,https://www.themoviedb.org/movie/800510
John Q,71.0,"Drama, Thriller, Crime",02/15/2002,1h 56m,Nick Cassavetes,https://www.themoviedb.org/movie/8470
Hawa,69.0,"Drama, Comedy",12/09/2022,1h 44m,Maïmouna Doucouré,https://www.themoviedb.org/movie/961707
Jungle Cruise,75.0,"Action, Adventure, Fantasy",09/24/2021,2h 7m,Jaume Collet-Serra,https://www.themoviedb.org/movie/451048
Catch the Fair One,65.0,"Crime, Thriller, Drama",02/11/2022,1h 25m,Josef Wladyka,https://www.themoviedb.org/movie/821420
The Green Mile,85.0,"Fantasy, Drama, Crime",03/16/2000,3h 9m,Frank Darabont,https://www.themoviedb.org/movie/497
Pirates of the Caribbean: At World's End,72.0,"Adventure, Fantasy, Action",05/19/2007,2h 48m,Gore Verbinski,https://www.themoviedb.org/movie/285
Sonic the Hedgehog,74.0,"Action, Science Fiction, Comedy, Family",02/14/2020,1h 39m,Jeff Fowler,https://www.themoviedb.org/movie/454626
Beyond the Universe,79.0,"Romance, Drama, Comedy",10/27/2022,2h 6m,Diego Freitas,https://www.themoviedb.org/movie/962232
The Twilight Saga: New Moon,60.0,"Adventure, Fantasy, Drama, Romance",11/20/2009,2h 11m,Chris Weitz,https://www.themoviedb.org/movie/18239
Gifted,80.0,"Drama, Comedy",04/12/2017,1h 41m,Marc Webb,https://www.themoviedb.org/movie/400928
The Dark Knight,85.0,"Drama, Action, Crime, Thriller",07/18/2008,2h 32m,Christopher Nolan,https://www.themoviedb.org/movie/155
Spiderhead,58.0,"Science Fiction, Thriller",06/17/2022,1h 46m,Joseph Kosinski,https://www.themoviedb.org/movie/615469
The Desperate Hour,61.0,Thriller,09/12/2021,1h 24m,Phillip Noyce,https://www.themoviedb.org/movie/764835
The Munsters,60.0,"Comedy, Fantasy",09/27/2022,1h 50m,Rob Zombie,https://www.themoviedb.org/movie/804413
Spider-Man: Across the Spider-Verse,0.0,"Animation, Action, Adventure, Science Fiction",06/02/2023,NA,Justin K. Thompson,https://www.themoviedb.org/movie/569094
The Vault,69.0,"Crime, Action, Thriller",03/11/2021,1h 58m,Jaume Balagueró,https://www.themoviedb.org/movie/630004
The Roundup,72.0,"Action, Crime",05/18/2022,1h 46m,Lee Sang-yong,https://www.themoviedb.org/movie/619803
White Elephant,65.0,"Action, Crime, Thriller",09/22/2022,1h 33m,Jesse V. Johnson,https://www.themoviedb.org/movie/843633
The Amazing Spider-Man,67.0,"Action, Adventure, Fantasy",06/29/2012,2h 16m,Marc Webb,https://www.themoviedb.org/movie/1930
Wonder Woman 1984,65.0,"Action, Adventure, Fantasy",12/25/2020,2h 31m,Patty Jenkins,https://www.themoviedb.org/movie/464052
The Amazing Spider-Man 2,65.0,"Action, Adventure, Fantasy",05/02/2014,2h 22m,Marc Webb,https://www.themoviedb.org/movie/102382
Howl's Moving Castle,84.0,"Fantasy, Animation, Adventure",11/19/2004,1h 59m,Hayao Miyazaki,https://www.themoviedb.org/movie/4935
Dive,81.0,Drama,11/11/2022,1h 35m,Lucía Puenzo,https://www.themoviedb.org/movie/1037603
Guardians of the Galaxy Vol. 2,76.0,"Adventure, Action, Science Fiction",05/05/2017,2h 17m,James Gunn,https://www.themoviedb.org/movie/283995
Good Will Hunting,81.0,Drama,01/09/1998,2h 7m,Gus Van Sant,https://www.themoviedb.org/movie/489
Grown Ups 2,61.0,Comedy,07/12/2013,1h 41m,Dennis Dugan,https://www.themoviedb.org/movie/109418
11th Hour Cleaning,56.0,Horror,07/05/2022,1h 12m,Ty Leisher,https://www.themoviedb.org/movie/982317
Jurassic World: Fallen Kingdom,66.0,"Action, Adventure, Science Fiction, Thriller",06/08/2018,2h 9m,J. A. Bayona,https://www.themoviedb.org/movie/351286
A Haunted House 2,61.0,"Comedy, Horror",04/18/2014,1h 27m,Michael Tiddes,https://www.themoviedb.org/movie/184345
Roald Dahl's The Witches,64.0,"Adventure, Fantasy, Comedy, Family, Horror",10/25/2020,1h 46m,Robert Zemeckis,https://www.themoviedb.org/movie/531219
Inception,84.0,"Action, Science Fiction, Adventure",07/16/2010,2h 28m,Christopher Nolan,https://www.themoviedb.org/movie/27205
Joker,82.0,"Crime, Thriller, Drama",10/02/2019,2h 2m,Todd Phillips,https://www.themoviedb.org/movie/475557
Terminator Genisys,59.0,"Science Fiction, Action, Thriller, Adventure",07/02/2015,2h 6m,Alan Taylor,https://www.themoviedb.org/movie/87101
Incantation,69.0,Horror,03/18/2022,1h 51m,Kevin Ko,https://www.themoviedb.org/movie/864370
Fifty Shades Freed,67.0,"Drama, Romance",02/09/2018,1h 45m,James Foley,https://www.themoviedb.org/movie/337167
Spider-Man,73.0,"Fantasy, Action",05/24/2002,2h 1m,Sam Raimi,https://www.themoviedb.org/movie/557
Corpse Bride,75.0,"Romance, Fantasy, Animation",09/23/2005,1h 17m,Tim Burton,https://www.themoviedb.org/movie/3933
Once Upon a Snowman,69.0,"Animation, Family, Comedy, Fantasy",10/23/2020,7m,Dan Abraham,https://www.themoviedb.org/movie/741074
Nefeli,15.0,Romance,01/01/1980,1h 50m,Omiros Efstratiadis,https://www.themoviedb.org/movie/300496
Pearl,74.0,"Horror, Drama, Mystery",09/16/2022,1h 42m,Ti West,https://www.themoviedb.org/movie/949423
The Last Airbender,47.0,"Action, Adventure, Fantasy",07/01/2010,1h 43m,M. Night Shyamalan,https://www.themoviedb.org/movie/10196
Magnum Opus,73.0,"Animation, Family, Science Fiction, Comedy",07/18/2022,5m,Kirsten Lepore,https://www.themoviedb.org/movie/1010823
Purple Hearts,83.0,"Romance, Drama",07/29/2022,2h 2m,Elizabeth Allen Rosenbaum,https://www.themoviedb.org/movie/762975
xXx: Return of Xander Cage,61.0,"Action, Adventure, Crime",01/13/2017,1h 47m,D. J. Caruso,https://www.themoviedb.org/movie/47971
Love & Other Drugs,70.0,"Drama, Comedy, Romance",11/24/2010,1h 52m,Edward Zwick,https://www.themoviedb.org/movie/43347
Mr. Harrigan's Phone,66.0,"Drama, Thriller, Horror",10/05/2022,1h 45m,John Lee Hancock,https://www.themoviedb.org/movie/723419
Alita: Battle Angel,72.0,"Action, Science Fiction, Adventure",02/08/2019,2h 2m,Robert Rodriguez,https://www.themoviedb.org/movie/399579
Code Name: Emperor,59.0,"Drama, Thriller",03/18/2022,1h 45m,Jorge Coira,https://www.themoviedb.org/movie/769636
Thor,68.0,"Adventure, Fantasy, Action",04/29/2011,1h 55m,Kenneth Branagh,https://www.themoviedb.org/movie/10195
Hellhole,59.0,Horror,10/26/2022,1h 30m,Bartosz M. Kowalski,https://www.themoviedb.org/movie/1032950
Captain America: Civil War,74.0,"Adventure, Action, Science Fiction",05/06/2016,2h 27m,Joe Russo,https://www.themoviedb.org/movie/271110
Home Alone 3,53.0,"Comedy, Family",12/12/1997,1h 42m,Raja Gosnell,https://www.themoviedb.org/movie/9714
The Forgiven,59.0,Drama,07/01/2022,1h 57m,John Michael McDonagh,https://www.themoviedb.org/movie/522927
The Hobbit: An Unexpected Journey,73.0,"Adventure, Fantasy, Action",12/14/2012,2h 49m,Peter Jackson,https://www.themoviedb.org/movie/49051
Constantine: The House of Mystery,72.0,"Animation, Action, Adventure, Horror",05/03/2022,27m,Matt Peters,https://www.themoviedb.org/movie/791348
Japanese Woman is Cheap in the Next Room,50.0,"Drama, Romance",07/09/2020,1h 1m,Shin Hyo-sung,https://www.themoviedb.org/movie/725405
A Trip to Infinity,68.0,Documentary,09/26/2022,1h 19m,Jon Halperin,https://www.themoviedb.org/movie/1005031
Up,79.0,"Animation, Comedy, Family, Adventure",05/28/2009,1h 36m,Pete Docter,https://www.themoviedb.org/movie/14160
Miss Peregrine's Home for Peculiar Children,68.0,"Fantasy, Adventure, Family, Drama",09/30/2016,2h 7m,Tim Burton,https://www.themoviedb.org/movie/283366
Selena Gomez: My Mind & Me,85.0,"Documentary, Music",11/04/2022,1h 35m,Alek Keshishian,https://www.themoviedb.org/movie/1022256
Us X Her,50.0,Drama,11/25/2022,1h 43m,Jules Katanyag,https://www.themoviedb.org/movie/1041896
The Swimmers,76.0,"Drama, History",11/24/2022,2h 14m,Sally El Hosaini,https://www.themoviedb.org/movie/821881
The Hangover,73.0,Comedy,06/05/2009,1h 40m,Todd Phillips,https://www.themoviedb.org/movie/18785
Creed II,70.0,Drama,11/21/2018,2h 10m,Steven Caple Jr.,https://www.themoviedb.org/movie/480530
The Hobbit: The Desolation of Smaug,76.0,"Fantasy, Adventure, Action",12/13/2013,2h 41m,Peter Jackson,https://www.themoviedb.org/movie/57158
Shrek the Third,63.0,"Fantasy, Adventure, Animation, Comedy, Family",05/17/2007,1h 33m,Chris Miller,https://www.themoviedb.org/movie/810
The Lost Lotteries,55.0,"Crime, Comedy",11/16/2022,1h 46m,Prueksa Amaruji,https://www.themoviedb.org/movie/1034337
The Simpsons in Plusaversary,66.0,"Animation, Comedy, Fantasy",11/12/2021,4m,David Silverman,https://www.themoviedb.org/movie/877183
Be My Slave,56.0,"Drama, Romance, Comedy",11/03/2012,1h 52m,Toru Kamei,https://www.themoviedb.org/movie/179058
Cars 2,60.0,"Animation, Family, Adventure, Comedy",06/16/2011,1h 46m,John Lasseter,https://www.themoviedb.org/movie/49013
Toy Story 4,75.0,"Family, Adventure, Animation, Comedy, Fantasy",06/21/2019,1h 40m,Josh Cooley,https://www.themoviedb.org/movie/301528
Bring It On: Cheer Or Die,64.0,"Thriller, Horror, Comedy, TV Movie",09/27/2022,1h 31m,Karen Lam,https://www.themoviedb.org/movie/831410
Chip 'n Dale: Rescue Rangers,70.0,"Animation, Family, Comedy, Adventure, Mystery",05/20/2022,1h 39m,Akiva Schaffer,https://www.themoviedb.org/movie/420821
American Sniper,74.0,"War, Action",01/16/2015,2h 13m,Clint Eastwood,https://www.themoviedb.org/movie/190859
Legend Quest: The Origin,83.0,"Animation, Comedy, Fantasy, Adventure, Family",02/15/2021,1h 30m,Ricardo Arnaiz,https://www.themoviedb.org/movie/667276
The Japanese Wife Next Door: Part 2,63.0,Comedy,06/25/2004,1h 1m,Yutaka Ikejima,https://www.themoviedb.org/movie/99436
Wrong Turn 3: Left for Dead,56.0,"Horror, Thriller",10/20/2009,1h 31m,Declan O'Brien,https://www.themoviedb.org/movie/23823
Kama Sutra: A Tale of Love,56.0,"Drama, History, Romance",02/28/1997,1h 57m,Mira Nair,https://www.themoviedb.org/movie/28005
Infinite,67.0,"Science Fiction, Action, Thriller",09/09/2021,1h 46m,Antoine Fuqua,https://www.themoviedb.org/movie/581726
An Argentinian crime,63.0,Thriller,08/25/2022,1h 53m,Lucas Combina,https://www.themoviedb.org/movie/941959
Carter,62.0,"Action, Thriller",08/05/2022,2h 12m,Jung Byung-gil,https://www.themoviedb.org/movie/800345
Cinderella,70.0,"Family, Fantasy, Animation, Romance",03/04/1950,1h 14m,Clyde Geronimi,https://www.themoviedb.org/movie/11224
The Parent Trap,71.0,"Comedy, Family",07/29/1998,2h 8m,Nancy Meyers,https://www.themoviedb.org/movie/9820
Thor: Ragnarok,76.0,"Action, Adventure, Fantasy, Science Fiction, Comedy",11/03/2017,2h 11m,Taika Waititi,https://www.themoviedb.org/movie/284053
The Conjuring 2,73.0,"Horror, Thriller",06/10/2016,2h 14m,James Wan,https://www.themoviedb.org/movie/259693
Toy Story 3,78.0,"Animation, Family, Comedy",06/25/2010,1h 43m,Lee Unkrich,https://www.themoviedb.org/movie/10193
Lolita,71.0,Drama,09/27/1997,2h 17m,Adrian Lyne,https://www.themoviedb.org/movie/9769
Triangle of Sadness,76.0,"Comedy, Drama",10/07/2022,2h 27m,Ruben Östlund,https://www.themoviedb.org/movie/497828
Terminator 2: Judgment Day,81.0,"Action, Thriller, Science Fiction",08/24/1991,2h 17m,James Cameron,https://www.themoviedb.org/movie/280
Spider-Man: Far from Home,75.0,"Action, Adventure, Science Fiction",07/04/2019,2h 9m,Jon Watts,https://www.themoviedb.org/movie/429617
Pinocchio,71.0,"Animation, Family",02/23/1940,1h 28m,Ben Sharpsteen,https://www.themoviedb.org/movie/10895
Taken 3,62.0,"Thriller, Action",01/08/2015,1h 49m,Olivier Megaton,https://www.themoviedb.org/movie/260346
End of the Road,63.0,"Thriller, Drama, Crime",09/09/2022,1h 29m,Millicent Shelton,https://www.themoviedb.org/movie/773975
Don't Breathe 2,72.0,"Thriller, Horror",09/17/2021,1h 38m,Rodo Sayagues,https://www.themoviedb.org/movie/482373
Nice Sister-In-Law 2,53.0,Romance,10/08/2017,1h 12m,NA,https://www.themoviedb.org/movie/485470
I Don't Like Younger Men 4,43.0,Romance,07/26/2019,1h 10m,Kim Tae-Soo,https://www.themoviedb.org/movie/619433
Back to the Future,83.0,"Adventure, Comedy, Science Fiction",07/03/1985,1h 56m,Robert Zemeckis,https://www.themoviedb.org/movie/105
The Good Nurse,70.0,"Drama, Crime, Mystery",10/20/2022,2h 1m,Tobias Lindholm,https://www.themoviedb.org/movie/541134
Three Steps Above Heaven,78.0,"Romance, Drama",12/03/2010,2h 2m,Fernando González Molina,https://www.themoviedb.org/movie/61979
John Wick,74.0,"Action, Thriller",10/24/2014,1h 41m,Chad Stahelski,https://www.themoviedb.org/movie/245891
The Unbearable Weight of Massive Talent,68.0,"Action, Comedy, Crime",04/22/2022,1h 47m,Tom Gormican,https://www.themoviedb.org/movie/648579
John Wick: Chapter 4,0.0,"Action, Thriller, Crime",03/24/2023,NA,Chad Stahelski,https://www.themoviedb.org/movie/603692
Dragon Ball Z: Wrath of the Dragon,72.0,"Animation, Action, Science Fiction",07/15/1995,51m,Mitsuo Hashimoto,https://www.themoviedb.org/movie/39108
Undisputed III: Redemption,76.0,"Action, Thriller",05/22/2010,1h 36m,Isaac Florentine,https://www.themoviedb.org/movie/38234
A Haunted House,58.0,"Comedy, Horror",01/11/2013,1h 26m,Michael Tiddes,https://www.themoviedb.org/movie/139038
The Aviary,59.0,Thriller,04/29/2022,1h 35m,Chris Cullari,https://www.themoviedb.org/movie/952374
The Noel Diary,64.0,"Romance, Comedy, Drama",11/24/2022,1h 39m,Charles Shyer,https://www.themoviedb.org/movie/736918
How to Train Your Dragon 2,77.0,"Fantasy, Action, Adventure, Animation, Comedy, Family",06/13/2014,1h 42m,Dean DeBlois,https://www.themoviedb.org/movie/82702
The Fate of the Furious,69.0,"Action, Crime, Thriller",04/13/2017,2h 16m,F. Gary Gray,https://www.themoviedb.org/movie/337339
Iron Man,76.0,"Action, Science Fiction, Adventure",05/01/2008,2h 6m,Jon Favreau,https://www.themoviedb.org/movie/1726
Percy Jackson & the Olympians: The Lightning Thief,62.0,"Adventure, Fantasy, Family",02/01/2010,1h 58m,Chris Columbus,https://www.themoviedb.org/movie/32657
Whiplash,84.0,"Drama, Music",10/15/2014,1h 47m,Damien Chazelle,https://www.themoviedb.org/movie/244786
One Punch Man: Road to Hero,80.0,"Action, Animation",12/04/2015,30m,Shingo Natsume,https://www.themoviedb.org/movie/370455
Texas Chainsaw Massacre,52.0,"Horror, Thriller",02/18/2022,1h 23m,David Blue Garcia,https://www.themoviedb.org/movie/632727
Cat Pack: A PAW Patrol Exclusive Event,74.0,"Animation, Family",06/24/2022,1h 8m,NA,https://www.themoviedb.org/movie/991833
Monster Hunter,67.0,"Action, Fantasy, Adventure",12/18/2020,1h 44m,Paul W. S. Anderson,https://www.themoviedb.org/movie/458576
San Andreas,62.0,"Action, Drama, Thriller",05/29/2015,1h 54m,Brad Peyton,https://www.themoviedb.org/movie/254128
The Kids Are Alright 2,77.0,"Comedy, Family",12/02/2022,1h 24m,Inés de León,https://www.themoviedb.org/movie/892068
Project X,68.0,Comedy,03/02/2012,1h 28m,Nima Nourizadeh,https://www.themoviedb.org/movie/57214
My Girlfriend's Mother 2,17.0,Romance,08/30/2018,1h 14m,Choi Min-II,https://www.themoviedb.org/movie/701952
Dead Poets Society,83.0,Drama,06/09/1989,2h 8m,Peter Weir,https://www.themoviedb.org/movie/207
Collision,60.0,"Thriller, Crime, Drama",06/16/2022,1h 39m,Fabien Martorell,https://www.themoviedb.org/movie/975714
Orphan,70.0,"Horror, Thriller, Mystery",09/18/2009,2h 3m,Jaume Collet-Serra,https://www.themoviedb.org/movie/21208
An Egg Rescue,79.0,"Animation, Comedy",08/12/2021,1h 29m,Rodolfo Riva Palacio Alatriste,https://www.themoviedb.org/movie/573164
Girl in the Basement,80.0,"Crime, Thriller, TV Movie",02/27/2021,1h 28m,Elisabeth Röhm,https://www.themoviedb.org/movie/801335
Man of Steel,66.0,"Action, Adventure, Science Fiction",06/14/2013,2h 23m,Zack Snyder,https://www.themoviedb.org/movie/49521
Blade Runner 2049,75.0,"Science Fiction, Drama",10/06/2017,2h 44m,Denis Villeneuve,https://www.themoviedb.org/movie/335984
The Grandmother,59.0,"Drama, Horror",04/06/2022,1h 41m,Paco Plaza,https://www.themoviedb.org/movie/661791
Hansan: Rising Dragon,72.0,"History, Action, Drama, War",07/27/2022,2h 10m,Kim Han-min,https://www.themoviedb.org/movie/588108
A Christmas Carol,69.0,"Animation, Family, Drama, Fantasy",11/06/2009,1h 34m,Robert Zemeckis,https://www.themoviedb.org/movie/17979
A Silent Voice: The Movie,84.0,"Animation, Drama",09/17/2016,2h 10m,Naoko Yamada,https://www.themoviedb.org/movie/378064
The Lion King II: Simba's Pride,69.0,"Family, Adventure, Animation, Action",10/24/1998,1h 21m,Darrell Rooney,https://www.themoviedb.org/movie/9732
Ava,62.0,Drama,06/21/2017,1h 46m,Léa Mysius,https://www.themoviedb.org/movie/453354
Honor Society,79.0,Comedy,07/29/2022,1h 37m,Oran Zegman,https://www.themoviedb.org/movie/929170
Night at the Museum: Secret of the Tomb,62.0,"Adventure, Comedy, Fantasy, Family",12/19/2014,1h 38m,Shawn Levy,https://www.themoviedb.org/movie/181533
Cloudy with a Chance of Meatballs,66.0,"Animation, Comedy, Family",09/18/2009,1h 30m,Phil Lord,https://www.themoviedb.org/movie/22794
Devil's Workshop,63.0,Horror,09/30/2022,1h 26m,Chris von Hoffmann,https://www.themoviedb.org/movie/1023086
